food_item,serving_size,calories (kcal),protein (g),protein (g),protein (g),protein (g),carbohydrate (g),sugar (g)
애호박볶음,50,29.52,0.66,1.81,0.66,1.81,2.65,0.21
열무나물무침,90,74.13,3.52,4.77,3.52,4.77,4.28,0.54
열무된장나물무침,90,61.23,3.34,3.68,3.34,3.68,3.68,0.66
오이나물무침,80,66.15,1.46,6.53,1.46,6.53,0.37,1.79
유채나물무침,90,86.24,5.22,4.14,5.22,4.14,7.04,1.78
참나물무침,90,53.85,2.26,3.32,2.26,3.32,3.73,0.6
취나물된장무침,90,39.38,2.77,1.49,2.77,1.49,3.71,0.76
콩나물고춧가루무침,90,83.58,3.54,5.34,3.54,5.34,5.34,1.71
콩나물무침,50,34.54,1.93,2.27,1.93,2.27,1.6,0.25
토란대나물무침,90,61.11,4.63,3.04,4.63,3.04,3.8,0.35
톳나물무침,90,67.82,1.68,1.88,1.68,1.88,11.05,6.25
간짜장,500,625.08,25.59,24.45,25.59,24.45,75.67,4.28
고기만두,220,350.25,27.23,9.8,27.23,9.8,38.28,0.35
군만두,220,514.51,15.46,25.29,15.46,25.29,56.26,6.1
김치만두,220,334.15,22.53,10.47,22.53,10.47,37.44,0.77
달걀라면,550,596.11,14.36,17.5,14.36,17.5,95.29,0.99
떡국,700,588.01,24.01,3.74,24.01,3.74,114.57,0.57
떡라면,550,525.49,11.21,16.07,11.21,16.07,84.01,0.0
떡만두국,600,666.99,21.18,23.44,21.18,23.44,92.83,0.07
라면,550,450.91,9.48,12.52,9.48,12.52,75.08,0.0
막국수,600,799.33,34.81,9.63,34.81,9.63,143.37,29.28
만두,220,397.27,19.05,17.99,19.05,17.99,39.79,0.0
메밀국수,350,221.87,10.98,1.01,10.98,1.01,42.21,0.0
물냉면,700,383.98,13.75,4.49,13.75,4.49,72.15,31.63
물만두,230,448.16,18.53,25.6,18.53,25.6,35.9,4.89
미트볼토마토스파게티,500,898.82,36.7,44.41,36.7,44.41,88.08,4.45
바지락칼국수,700,576.77,24.04,3.71,24.04,3.71,111.81,1.23
볶음우동,300,385.41,8.41,6.04,8.41,6.04,74.36,1.28
비빔국수,500,512.46,15.06,4.75,15.06,4.75,102.36,20.53
비빔냉면,500,499.16,28.33,13.21,28.33,13.21,66.74,20.1
사골만두국,700,606.93,26.19,27.97,26.19,27.97,62.6,0.44
수제비,650,378.28,14.99,3.35,14.99,3.35,72.04,0.0
월남쌈,250,293.84,14.86,12.43,14.86,12.43,30.63,13.74
잔치국수,700,310.2,13.53,3.41,13.53,3.41,56.34,0.3
쟁반국수,450,535.45,30.05,20.51,30.05,20.51,57.66,36.53
짜장면,600,529.18,16.15,13.3,16.15,13.3,86.22,36.43
짬뽕,800,464.46,22.3,12.34,22.3,12.34,66.06,12.52
쫄면,550,706.96,17.68,13.84,17.68,13.84,127.91,19.32
칼국수,700,540.65,23.09,3.46,23.09,3.46,104.28,0.0
콩국수,800,651.57,31.2,26.81,31.2,26.81,71.37,1.95
회냉면,500,741.26,29.04,20.11,29.04,20.11,111.04,14.21
검정콩밥,200,330.61,9.06,2.23,9.06,2.23,68.59,0.0
계란볶음밥,260,584.71,17.22,29.32,17.22,29.32,62.99,0.44
고추김밥,290,490.73,14.14,12.78,14.14,12.78,79.8,0.27
기장밥,200,331.91,6.87,1.14,6.87,1.14,73.53,0.0
김밥,230,322.56,11.14,10.47,11.14,10.47,45.95,0.0
김치김밥,270,351.43,11.61,10.88,11.61,10.88,51.76,0.79
김치볶음밥,330,550.64,17.56,30.3,17.56,30.3,51.93,45.85
낙지덮밥,350,525.24,20.58,11.69,20.58,11.69,84.42,7.55
날치알김밥,260,461.27,15.86,11.08,15.86,11.08,74.52,3.71
닭고기덮밥,410,510.58,46.75,8.94,46.75,8.94,60.77,4.39
돈까스김밥,320,646.18,18.45,18.6,18.45,18.6,101.24,4.24
돌솥비빔밥,380,558.1,20.5,11.22,20.5,11.22,93.77,4.73
돼지머리국밥,900,1233.32,60.34,46.47,60.34,46.47,143.42,1.46
모듬회덮밥,410,593.54,37.32,17.01,37.32,17.01,72.8,12.57
무밥,200,266.19,7.33,1.28,7.33,1.28,56.34,0.0
보리밥,200,321.63,5.8,0.48,5.8,0.48,73.54,5.14
볶음밥,350,640.48,19.47,9.67,19.47,9.67,118.88,0.0
불고기덮밥,400,728.18,26.39,21.25,26.39,21.25,107.84,0.28
비빔밥,450,637.54,30.89,19.44,30.89,19.44,84.76,0.22
새우볶음밥,370,635.75,23.33,22.7,23.33,22.7,84.54,2.63
생선모듬초밥,380,607.45,36.71,6.06,36.71,6.06,101.52,5.32
쇠머리국밥,1000,239.21,15.83,7.53,15.83,7.53,27.04,0.0
쇠고기김밥,250,447.51,16.16,13.9,16.16,13.9,64.44,0.07
쇠고기볶음밥,260,456.99,19.74,16.86,19.74,16.86,56.58,0.22
쇠고기주먹밥,200,355.16,9.52,4.36,9.52,4.36,69.45,0.45
수수밥,200,321.89,6.31,1.83,6.31,1.83,70.04,0.15
순대국밥,900,673.09,28.56,20.56,28.56,20.56,93.46,1.51
알밥,330,422.13,15.61,16.86,15.61,16.86,51.99,7.6
영양돌솥밥,350,643.16,12.02,10.03,12.02,10.03,126.22,2.22
오므라이스,400,692.71,25.98,28.91,25.98,28.91,82.14,12.76
오징어덮밥,360,484.59,25.85,7.24,25.85,7.24,79.0,2.37
완두콩밥,200,276.32,5.89,0.31,5.89,0.31,62.49,0.0
유부초밥,200,388.54,11.56,11.53,11.56,11.53,59.63,3.97
육회비빔밥,300,442.29,19.16,10.07,19.16,10.07,68.76,13.36
잡곡밥,200,292.6,10.59,1.74,10.59,1.74,58.65,0.64
잡채밥,550,825.15,22.11,18.81,22.11,18.81,141.85,0.3
제육덮밥,470,949.76,44.3,50.63,44.3,50.63,79.22,9.3
짜장밥,470,572.62,20.08,22.18,20.08,22.18,73.17,0.16
짬뽕밥,900,647.7,28.81,12.56,28.81,12.56,104.86,12.04
차조밥,200,313.24,5.67,1.3,5.67,1.3,69.71,0.07
찰밥,280,429.7,12.3,0.51,12.3,0.51,93.97,1.37
참치김밥,250,435.04,17.5,18.05,17.5,18.05,50.65,1.77
참치마요삼각김밥,200,398.7,11.86,16.41,11.86,16.41,50.89,0.0
참치볶음밥,230,412.97,10.63,7.52,10.63,7.52,75.68,0.27
채소김밥,280,442.09,12.89,10.23,12.89,10.23,74.61,0.4
채소볶음밥,260,474.03,12.26,14.01,12.26,14.01,74.73,0.76
치즈김밥,270,476.98,16.86,18.99,16.86,18.99,59.67,0.57
카레라이스,480,518.4,14.94,6.73,14.94,6.73,99.53,0.78
콩나물국밥,780,403.26,11.34,1.89,11.34,1.89,85.22,0.0
콩나물밥,320,392.17,14.98,5.07,14.98,5.07,71.66,0.12
팥밥,200,286.0,6.56,0.19,6.56,0.19,64.51,0.0
표고버섯볶음밥,300,551.73,10.09,14.43,10.09,14.43,95.37,0.0
하이라이스,360,401.93,14.47,4.08,14.47,4.08,76.84,0.0
현미밥,230,396.31,7.14,1.09,7.14,1.09,89.48,0.0
흑미밥,200,348.7,6.53,0.22,6.53,0.22,80.14,0.04
감자볶음,100,100.18,1.75,4.84,1.75,4.84,12.41,3.37
감자채소볶음,130,139.78,2.65,6.79,2.65,6.79,17.03,0.15
건새우볶음,20,60.83,8.31,2.59,8.31,2.59,1.08,0.81
고추볶음,100,69.78,1.93,3.23,1.93,3.23,8.25,4.34
김치볶음,100,106.07,1.38,7.94,1.38,7.94,7.27,4.45
꽈리고추멸치볶음,50,126.57,11.81,7.04,11.81,7.04,3.98,3.12
낙지볶음,200,182.69,11.53,7.53,11.53,7.53,17.2,15.81
느타리버섯볶음,50,47.09,1.4,3.1,1.4,3.1,3.39,2.12
닭가슴살피망볶음,80,97.58,13.11,4.52,13.11,4.52,1.1,0.23
닭발볶음,200,372.98,27.6,18.76,27.6,18.76,23.44,12.74
닭볶음,300,558.83,41.93,32.88,41.93,32.88,23.8,2.32
당근볶음,90,85.13,0.84,5.97,0.84,5.97,7.01,4.05
돼지고기김치볶음,230,371.22,27.16,23.12,27.16,23.12,13.63,6.68
돼지고기채소볶음,230,388.96,38.12,17.46,38.12,17.46,19.84,15.33
돼지곱창순대볶음,230,299.11,16.64,6.91,16.64,6.91,42.59,7.52
떡볶이,180,260.02,6.31,5.32,6.31,5.32,46.72,7.92
라볶이,200,268.47,5.66,9.41,5.66,9.41,40.28,1.88
마늘쫑볶음,140,123.91,4.55,3.55,4.55,3.55,18.44,7.4
마늘쫑잔멸치볶음,50,58.42,3.77,1.39,3.77,1.39,7.71,2.85
마파두부,160,174.33,11.67,10.37,11.67,10.37,8.58,3.92
멸치견과류볶음,50,206.95,15.2,12.16,15.2,12.16,9.18,7.01
멸치마늘쫑볶음,50,138.41,16.2,5.42,16.2,5.42,6.21,2.13
멸치볶음,50,138.0,19.72,3.54,19.72,3.54,6.81,5.8
묵은지삼겹살볶음,200,302.03,11.52,20.98,11.52,20.98,16.79,7.23
문어고추장볶음,200,175.01,21.93,2.04,21.93,2.04,17.23,10.88
미역줄기볶음,80,61.43,0.77,4.76,0.77,4.76,3.88,0.44
브로콜리볶음,90,46.14,3.98,1.15,3.98,1.15,4.98,1.28
새송이버섯볶음,120,145.44,3.54,9.63,3.54,9.63,11.15,4.5
새우볶음,200,166.66,19.81,4.42,19.81,4.42,11.91,7.97
소시지볶음,200,559.51,23.88,38.75,23.88,38.75,28.82,11.66
쇠고기고추장볶음,220,434.08,31.59,23.73,31.59,23.73,23.55,21.33
쇠고기버섯볶음,230,330.36,26.66,17.79,26.66,17.79,15.91,6.55
쇠고기볶음,190,543.39,33.24,43.2,33.24,43.2,5.4,8.16
쇠고기채소볶음,230,288.81,29.44,12.42,29.44,12.42,14.81,10.41
양파볶음,80,44.67,0.79,1.23,0.79,1.23,7.61,7.32
어묵볶음,140,275.24,11.78,10.21,11.78,10.21,34.06,8.84
어묵잡채,280,414.12,6.55,10.59,6.55,10.59,73.15,4.2
어묵채소볶음,90,136.68,5.7,5.77,5.7,5.77,15.48,1.13
오징어볶음,200,255.56,19.69,13.04,19.69,13.04,14.86,3.85
오징어채볶음,20,59.52,4.09,2.99,4.09,2.99,4.07,4.92
유산슬,220,189.43,16.58,9.68,16.58,9.68,9.01,4.73
잔멸치견과류볶음,50,193.96,12.17,11.11,12.17,11.11,11.32,7.27
잔멸치고추볶음,50,114.05,16.64,4.0,16.64,4.0,2.86,1.88
잔멸치꽈리고추볶음,50,146.65,12.39,8.74,12.39,8.74,4.62,2.92
잔멸치볶음,50,170.46,21.82,7.1,21.82,7.1,4.81,6.54
잔멸치풋고추볶음,50,127.82,14.12,4.16,14.12,4.16,8.47,5.31
잡채,200,291.15,9.41,6.6,9.41,6.6,48.52,1.45
제육볶음,250,487.98,30.37,35.47,30.37,35.47,11.82,0.94
죽순쇠고기볶음,230,276.31,31.46,12.86,31.46,12.86,8.69,4.77
참치김치볶음,100,121.88,8.33,6.68,8.33,6.68,7.12,1.83
채소떡볶이,200,515.29,6.24,3.76,6.24,3.76,114.11,3.94
콩나물잡채,230,153.12,4.43,2.22,4.43,2.22,28.86,21.56
팔보채,220,196.98,27.33,6.39,27.33,6.39,7.53,4.59
햄채소볶음,220,401.83,23.04,25.02,23.04,25.02,21.13,7.32
BLT샌드위치,220,423.85,20.9,29.56,20.9,29.56,18.56,1.31
감자크로켓,150,295.63,8.55,20.89,8.55,20.89,18.37,2.89
꽈배기,70,272.34,5.83,14.29,5.83,14.29,30.1,7.04
닭가슴살샌드위치,230,551.65,28.02,27.41,28.02,27.41,48.21,7.1
도넛,70,294.22,4.48,16.75,4.48,16.75,31.39,8.31
롤케이크,100,311.94,7.36,11.83,7.36,11.83,44.01,24.64
링도넛,100,514.57,7.85,33.17,7.85,33.17,46.16,11.6
마늘빵,50,219.12,6.03,8.79,6.03,8.79,28.97,3.68
머핀,130,499.29,7.45,17.99,7.45,17.99,76.89,51.55
모닝빵,70,219.52,6.65,5.2,6.65,5.2,36.52,5.58
모카빵,150,507.78,12.82,12.08,12.82,12.08,86.94,18.79
베이글,120,367.64,12.0,6.99,12.0,6.99,64.18,5.5
불고기버거,200,499.77,27.76,23.04,27.76,23.04,45.35,0.26
사과파이,100,184.65,2.54,3.91,2.54,3.91,34.83,7.11
생크림케이크,100,237.09,3.45,12.54,3.45,12.54,27.62,14.49
소보로빵,70,274.19,5.79,10.59,5.79,10.59,38.94,11.68
식빵,100,264.36,9.34,2.6,9.34,2.6,50.91,1.56
식빵토스트,100,365.67,8.78,13.85,8.78,13.85,51.47,4.5
찐빵,250,532.43,12.98,0.31,12.98,0.31,119.43,27.6
참치샌드위치,250,505.3,26.34,29.13,26.34,29.13,34.45,3.46
찹쌀도넛,70,201.62,4.2,3.25,4.2,3.25,38.89,7.73
채소샌드위치,180,439.87,7.35,26.55,7.35,26.55,42.88,25.66
초코소라빵,70,222.99,2.3,7.65,2.3,7.65,36.23,6.5
츄러스,70,252.49,4.62,7.9,4.62,7.9,40.72,15.91
치킨버거,200,475.56,24.86,19.49,24.86,19.49,50.17,3.82
카스텔라,70,234.74,7.02,8.03,7.02,8.03,33.59,23.64
콤비네이션피자,200,548.05,21.35,28.71,21.35,28.71,51.07,9.69
크로아상,150,669.17,11.28,40.47,11.28,40.47,64.96,9.15
페이스트리,70,326.3,5.82,20.76,5.82,20.76,29.05,4.5
피자빵,200,595.65,17.7,30.09,17.7,30.09,63.52,16.21
햄버거,200,527.67,25.69,27.95,25.69,27.95,43.34,6.25
햄샌드위치,200,439.2,24.88,23.84,24.88,23.84,31.28,3.79
햄치즈샌드위치,240,433.09,21.15,18.37,21.15,18.37,45.79,9.62
호떡,150,470.6,8.11,10.61,8.11,10.61,85.68,1.09
가오리회무침,230,186.62,26.07,2.66,26.07,2.66,14.6,12.57
감자샐러드,150,189.19,1.97,11.98,1.97,11.98,18.37,5.63
골뱅이국수무침,230,250.52,11.53,3.38,11.53,3.38,43.49,8.2
과일샐러드,140,138.69,1.75,8.87,1.75,8.87,12.95,13.02
굴무생채,300,149.16,11.04,3.77,11.04,3.77,17.76,12.13
굴무침,80,61.44,5.34,1.85,5.34,1.85,5.84,2.19
김무침,30,77.57,6.35,3.22,6.35,3.22,5.8,1.72
낙지무침,180,138.0,22.33,2.24,22.33,2.24,7.13,0.26
느타리버섯무침,150,88.01,4.11,5.66,4.11,5.66,5.16,0.13
다시마무침,90,43.27,2.31,1.06,2.31,1.06,6.12,0.0
단호박샐러드,150,242.52,2.22,13.45,2.22,13.45,28.15,21.45
달래무침,60,37.79,1.75,1.81,1.75,1.81,3.64,2.3
닭가슴살샐러드,150,203.24,10.75,14.23,10.75,14.23,8.04,4.88
닭고기냉채,240,215.62,31.4,4.67,31.4,4.67,11.99,11.53
도라지생채,160,123.97,3.3,0.82,3.3,0.82,25.84,8.4
도라지오이생채,160,76.02,2.65,2.76,2.65,2.76,10.14,11.01
도토리묵무침,200,147.76,1.85,5.89,1.85,5.89,21.84,3.63
돌나물무침,50,34.25,0.83,1.59,0.83,1.59,4.15,2.63
두릅초고추장무침,90,60.49,1.94,2.71,1.94,2.71,7.1,4.09
마늘쫑무침,30,31.92,0.82,1.48,0.82,1.48,3.83,2.24
무말랭이무침,20,24.17,0.84,0.31,0.84,0.31,4.5,0.82
무생채,150,73.54,3.64,1.67,3.64,1.67,10.99,2.67
미나리무침,90,41.52,1.18,1.92,1.18,1.92,4.87,2.02
미역초무침,50,17.49,0.59,0.51,0.59,0.51,2.62,0.65
민들레잎무침,90,72.9,2.42,2.1,2.42,2.1,11.09,7.34
배추겉절이,50,27.32,1.14,1.07,1.14,1.07,3.29,0.65
부추무침,100,92.3,3.5,5.92,3.5,5.92,6.25,3.06
북어채무침,150,282.02,42.6,4.37,42.6,4.37,18.07,8.38
상추겉절이,100,61.14,2.36,3.41,2.36,3.41,5.26,2.98
새싹채소샐러드,100,74.21,2.77,4.81,2.77,4.81,4.96,2.26
양배추샐러드,150,225.1,4.03,17.57,4.03,17.57,12.7,11.92
양상추샐러드,150,188.98,7.36,15.45,7.36,15.45,5.13,2.37
양장피,220,291.79,16.05,14.58,16.05,14.58,24.1,0.96
양파부추무침,100,44.19,1.83,1.07,1.83,1.07,6.81,5.79
열무겉절이,100,57.55,2.4,2.94,2.4,2.94,5.38,2.26
오이부추무침,100,31.32,1.95,0.39,1.95,0.39,5.01,4.15
오이생채,50,34.53,0.89,1.45,0.89,1.45,4.48,4.02
오이지무침,100,52.32,0.96,3.51,0.96,3.51,4.21,2.78
오징어무침,200,254.31,39.45,4.93,39.45,4.93,13.04,13.15
오징어물회,700,339.79,43.3,8.37,43.3,8.37,22.81,14.72
오징어채무침,80,206.14,18.88,4.42,18.88,4.42,22.73,14.97
오징어채소무침,240,149.09,14.04,2.23,14.04,2.23,18.23,13.3
옥수수샐러드,160,265.65,3.13,19.11,3.13,19.11,20.28,9.61
참치샐러드,150,226.74,16.23,12.97,16.23,12.97,11.28,10.36
채소샐러드,160,232.33,1.86,21.36,1.86,21.36,8.16,7.55
치커리겉절이,100,56.41,1.49,3.65,1.49,3.65,4.4,3.71
파래무침,30,14.83,1.06,0.51,1.06,0.51,1.49,0.52
파무침,150,105.95,3.38,4.22,3.38,4.22,13.62,12.03
풋고추된장무침,100,123.64,2.37,7.35,2.37,7.35,12.0,8.43
풋마늘무침,100,71.06,4.14,1.04,4.14,1.04,11.27,5.95
피조개무침,100,51.64,4.71,0.95,4.71,0.95,6.07,3.72
해초무침,100,39.3,0.95,0.16,0.95,0.16,8.52,3.95
호박오가리나물무침,100,200.5,6.14,10.01,6.14,10.01,21.46,6.82
회무침,250,203.95,20.22,4.12,20.22,4.12,21.5,11.33
육회,150,195.06,14.9,9.64,14.9,9.64,12.18,7.93
팥빙수,400,401.79,14.29,1.67,14.29,1.67,82.39,37.84
미숫가루,300,211.16,6.24,6.8,6.24,6.8,31.25,0.0
고추장아찌,60,49.62,1.19,1.24,1.19,1.24,8.44,0.44
깻잎장아찌,20,20.18,0.41,0.68,0.41,0.68,3.11,0.71
단무지,30,3.77,0.1,0.06,0.1,0.06,0.72,0.14
더덕장아찌,90,127.28,4.02,0.8,4.02,0.8,26.01,13.84
마늘장아찌,230,147.23,6.15,11.58,6.15,11.58,4.61,11.86
무짠지,50,5.63,0.27,0.06,0.27,0.06,0.99,0.79
양파장아찌,50,40.18,1.31,0.38,1.31,0.38,7.89,8.96
오이장아찌,50,7.11,0.18,0.14,0.18,0.14,1.27,0.52
오이지,50,10.34,0.37,0.36,0.37,0.36,1.42,0.0
일본매실장아찌,30,19.52,0.38,0.53,0.38,0.53,3.31,2.36
치킨무,130,22.1,0.68,0.39,0.68,0.39,3.97,2.27
가지전,200,245.82,10.96,14.55,10.96,14.55,17.75,1.68
감자전,200,265.62,3.43,13.07,3.43,13.07,33.58,3.62
고구마전,140,318.36,4.09,11.17,4.09,11.17,50.38,19.97
김치전,150,201.08,7.58,6.3,7.58,6.3,28.51,6.32
달걀말이,100,193.49,17.21,13.21,17.21,13.21,1.45,0.0
달걀프라이,60,124.53,9.44,8.27,9.44,8.27,3.09,0.02
돼지고기완자전,200,277.36,29.56,11.9,29.56,11.9,13.01,5.12
두부부침,100,139.93,10.92,9.77,10.92,9.77,2.07,0.24
떡갈비,200,403.4,42.76,23.63,42.76,23.63,4.92,0.79
맛살전,200,329.53,14.95,12.47,14.95,12.47,39.37,2.27
메밀전,180,289.81,7.23,1.15,7.23,1.15,62.63,0.54
부추전,150,251.22,6.95,6.25,6.95,6.25,41.79,12.42
쇠고기완자전,200,323.34,37.46,15.12,37.46,15.12,9.35,0.4
스크램블드에그,110,237.34,12.99,19.35,12.99,19.35,2.82,0.49
애호박전,150,182.9,6.53,12.93,6.53,12.93,10.1,3.48
참치완자전,200,345.27,29.99,12.98,29.99,12.98,27.13,7.37
채소전,100,145.11,3.57,4.5,3.57,4.5,22.59,2.06
표고버섯전,150,271.89,15.19,14.97,15.19,14.97,19.11,2.84
해물완자전,200,444.86,22.92,23.21,22.92,23.21,36.07,6.81
해물파전,150,256.14,8.25,12.6,8.25,12.6,27.43,1.23
햄달걀부침,100,277.32,12.71,21.59,12.71,21.59,8.06,0.0
가자미식해,250,335.62,27.73,12.03,27.73,12.03,29.1,9.27
간장게장,250,155.4,17.56,2.76,17.56,2.76,15.09,10.53
양념갈치젓,90,134.0,13.98,4.57,13.98,4.57,9.25,4.42
양념게장,200,193.49,20.45,1.21,20.45,1.21,25.21,17.53
양념멸치젓,5,4.51,0.57,0.08,0.57,0.08,0.37,0.03
양념새우젓,10,6.89,0.71,0.18,0.71,0.18,0.6,0.05
오징어젓,10,6.03,1.01,0.07,1.01,0.07,0.34,0.24
갈치조림,100,100.82,12.72,2.81,12.72,2.81,6.16,6.29
감자조림,50,56.79,1.2,1.76,1.2,1.76,9.05,3.84
건갈치조림,100,127.65,15.93,5.04,15.93,5.04,4.64,5.35
고등어조림,100,141.01,11.25,8.84,11.25,8.84,4.1,3.39
꽁치조림,100,243.51,15.52,17.87,15.52,17.87,5.14,4.05
달걀장조림,100,138.11,9.85,7.12,9.85,7.12,8.67,6.87
닭고추장조림,250,379.87,22.79,17.36,22.79,17.36,33.13,5.09
닭조림,150,294.79,27.05,16.35,27.05,16.35,9.86,0.75
돼지고기메추리알장조림,100,166.24,20.07,7.66,20.07,7.66,4.26,6.19
돼지고기장조림,100,72.66,15.58,0.87,15.58,0.87,0.63,7.27
두부조림,50,71.55,4.82,4.83,4.82,4.83,2.2,1.82
땅콩조림,20,96.52,3.75,7.28,3.75,7.28,3.99,1.97
마늘쫑조림,100,194.24,4.04,0.31,4.04,0.31,43.82,6.42
메추리알장조림,100,202.86,14.25,13.41,14.25,13.41,6.3,3.48
멸치조림,100,318.37,40.92,13.22,40.92,13.22,8.93,7.35
무조림,150,71.44,3.39,3.57,3.39,3.57,6.43,5.81
미트볼조림,150,331.41,27.23,16.09,27.23,16.09,19.42,15.78
버섯조림,150,90.66,6.57,3.0,6.57,3.0,9.34,2.92
병어조림,100,112.38,12.46,4.78,12.46,4.78,4.87,0.22
삼치조림,100,124.64,15.88,5.63,15.88,5.63,2.61,2.03
쇠고기메추리알장조림,100,157.49,11.69,5.39,11.69,5.39,15.56,3.32
쇠고기장조림,100,68.76,10.41,0.86,10.41,0.86,4.84,1.0
양미리조림,100,65.31,5.76,0.66,5.76,0.66,9.09,2.2
어묵조림,200,317.02,11.65,9.46,11.65,9.46,46.32,4.85
연근조림,50,87.19,1.34,2.55,1.34,2.55,14.71,1.39
오징어조림,150,206.02,24.82,3.56,24.82,3.56,18.68,10.28
오징어채조림,50,119.8,11.76,2.45,11.76,2.45,12.68,6.89
우엉조림,30,56.54,1.44,1.0,1.44,1.0,10.44,8.53
쥐포조림,100,276.3,13.03,8.86,13.03,8.86,36.12,23.37
코다리조림,100,86.06,16.46,0.4,16.46,0.4,4.16,3.67
콩조림,30,84.27,5.39,2.32,5.39,2.32,10.45,1.06
닭죽,400,177.46,10.7,2.27,10.7,2.27,28.57,0.0
쇠고기죽,400,244.09,8.62,0.87,8.62,0.87,50.44,0.0
양송이스프,100,105.29,2.41,7.04,2.41,7.04,8.06,2.52
오리고기죽,400,618.71,30.0,19.94,30.0,19.94,79.8,0.0
전복죽,400,317.19,7.27,14.9,7.27,14.9,38.49,0.0
채소죽,400,173.76,6.75,2.76,6.75,2.76,30.47,0.69
팥죽,400,324.17,12.69,0.76,12.69,0.76,66.63,0.08
호박죽,400,197.52,7.7,6.84,7.7,6.84,26.3,14.24
흑임자죽,400,245.96,4.41,18.9,4.41,18.9,14.56,2.99
갈치찌개,250,94.75,13.17,2.51,13.17,2.51,4.88,2.45
감자탕,530,375.69,33.43,21.54,33.43,21.54,12.03,0.0
김치전골,270,197.79,8.43,11.41,8.43,11.41,15.34,2.14
꽁치김치찌개,270,241.19,19.27,13.98,19.27,13.98,9.56,1.9
꽃게탕,600,101.1,11.13,2.46,11.13,2.46,8.61,5.71
낙지전골,300,153.42,19.5,3.42,19.5,3.42,11.16,0.0
내장탕,600,423.97,34.9,27.12,34.9,27.12,10.08,0.32
냉이된장찌개,350,67.0,4.09,1.1,4.09,1.1,10.18,1.94
달래된장찌개,350,122.7,11.12,2.77,11.12,2.77,13.32,1.42
닭볶음탕,300,332.04,35.74,9.65,35.74,9.65,25.57,1.25
대구매운탕,600,134.18,26.96,2.42,26.96,2.42,1.14,0.0
동태찌개,200,87.22,12.22,2.73,12.22,2.73,3.44,0.25
돼지고기김치찌개,200,90.91,8.49,5.41,8.49,5.41,2.07,0.09
돼지고기찌개,300,143.02,18.76,4.54,18.76,4.54,6.77,0.38
된장찌개,200,91.91,6.76,3.26,6.76,3.26,8.87,0.0
두부고추장찌개,500,261.81,20.04,13.13,20.04,13.13,15.88,4.0
두부된장찌개,270,110.23,8.78,5.28,8.78,5.28,6.9,2.66
두부쇠고기고추장찌개,280,162.34,12.77,3.98,12.77,3.98,18.85,0.48
두부애호박된장찌개,350,189.41,17.61,4.3,17.61,4.3,20.07,6.04
버섯샤브샤브,350,104.64,13.57,3.16,13.57,3.16,5.49,1.84
버섯전골,300,233.68,15.43,12.73,15.43,12.73,14.34,3.54
부대찌개,600,737.25,35.16,38.91,35.16,38.91,61.59,1.05
쇠고기샤브샤브,600,259.59,32.27,9.72,32.27,9.72,10.77,8.94
쇠고기된장찌개,300,163.93,17.12,5.93,17.12,5.93,10.51,2.15
쇠고기전골,300,187.56,23.66,9.71,23.66,9.71,1.37,0.14
순두부김치찌개,200,69.65,5.95,3.17,5.95,3.17,4.34,0.64
순두부찌개,200,85.54,9.06,4.32,9.06,4.32,2.61,1.19
알탕,520,203.13,33.11,3.83,33.11,3.83,9.06,0.0
어묵김치찌개,260,98.44,4.74,1.54,4.74,1.54,16.4,4.15
오리백숙,300,335.72,31.78,22.5,31.78,22.5,1.51,0.75
오리탕,600,728.09,56.99,39.37,56.99,39.37,36.46,21.45
오징어찌개,250,85.47,8.24,0.54,8.24,0.54,11.92,1.13
장어탕,800,536.94,34.53,31.25,34.53,31.25,29.4,21.26
조개된장찌개,300,68.12,8.63,2.16,8.63,2.16,3.53,1.68
참치김치찌개,300,154.06,10.76,8.47,10.76,8.47,8.7,0.45
청국장찌개,200,93.59,10.06,4.22,10.06,4.22,3.84,0.0
추어탕,350,188.33,11.33,11.12,11.33,11.12,10.74,0.0
콩나물된장찌개,300,146.27,7.69,4.42,7.69,4.42,18.94,0.29
콩비지찌개,400,275.73,26.95,12.32,26.95,12.32,14.27,12.98
해물매운탕,600,211.37,29.07,3.86,29.07,3.86,15.08,2.69
햄김치찌개,300,93.41,4.42,4.18,4.42,4.18,9.52,0.12
호박고추장찌개,280,115.04,5.83,2.77,5.83,2.77,16.69,1.58
가오리찜,200,204.63,43.98,2.78,43.98,2.78,0.92,0.11
깻잎찜,100,97.42,5.21,5.86,5.21,5.86,5.96,1.33
꼬막찜,200,192.87,24.06,4.55,24.06,4.55,13.93,2.06
꽈리고추찜,100,103.92,3.59,2.09,3.59,2.09,17.69,0.44
달걀찜(우유),200,209.74,16.45,12.62,16.45,12.62,7.59,5.09
달걀찜(새우젓),200,116.3,9.96,8.08,9.96,8.08,0.93,0.0
닭찜,300,320.01,37.1,18.27,37.1,18.27,1.8,0.0
돼지갈비찜,300,581.39,39.86,36.96,39.86,36.96,22.33,0.39
돼지고기수육,300,936.89,59.65,74.46,59.65,74.46,7.05,7.21
쇠갈비찜,300,256.01,21.75,9.51,21.75,9.51,20.85,2.24
쇠고기사태찜,300,328.77,36.3,15.51,36.3,15.51,11.0,0.4
쇠고기수육,300,498.92,85.29,14.81,85.29,14.81,6.11,0.33
아귀찜,200,168.18,13.44,6.26,13.44,6.26,14.52,5.46
애호박찜,100,181.05,9.5,6.48,9.5,6.48,21.18,1.81
